,company_id,quarter,P,EPS,D/E,SIZE
4101,SCD,2010-07-01,-0.5805567125590106,-0.09246721291157779,-0.2818270140916891,-1.4870733967686283
4102,SCD,2010-10-01,-0.5805395420024256,-0.09246717039883359,-0.2818270140916891,-1.4870733967686283
4103,SCD,2011-01-01,-0.5805276369159267,-0.09246720935875587,-0.26983326090339116,-1.4045392227322995
4104,SCD,2011-04-01,-0.580516348671107,-0.09246720330280939,-0.26983326090339116,-1.4045392227322995
4105,SCD,2011-07-01,-0.5805287052930942,-0.09246720302019856,-0.26983326090339116,-1.4045392227322995
4106,SCD,2011-10-01,-0.5805301450433079,-0.09246718618466739,-0.26983326090339116,-1.4045392227322995
4107,SCD,2012-01-01,-0.5805126647282393,-0.09246721109479385,-0.2865255792311313,-1.4023617187759014
4108,SCD,2012-04-01,-0.5805136089403662,-0.09246721351717244,-0.2865255792311313,-1.4023617187759014
4109,SCD,2012-07-01,-0.5804971637432025,-0.09246720709786918,-0.2865255792311313,-1.4023617187759014
4110,SCD,2012-10-01,-0.5804932913466563,-0.09246715691425945,-0.2865255792311313,-1.4023617187759014
4111,SCD,2013-01-01,-0.5804736778264001,-0.09246719631828447,-0.1859127196555255,-1.228997680559611
4112,SCD,2013-04-01,-0.5804567475074565,-0.09246719857917114,-0.1859127196555255,-1.228997680559611
4113,SCD,2013-07-01,-0.5804661244617371,-0.09246720964136669,-0.1859127196555255,-1.228997680559611
4114,SCD,2013-10-01,-0.5804576264828486,-0.09246716062857328,-0.1859127196555255,-1.228997680559611
4115,SCD,2014-01-01,-0.5804471675507326,-0.0924672092780099,-0.2201366133776209,-1.255453895351304
4116,SCD,2014-04-01,-0.580428931366659,-0.09246719999222533,-0.2201366133776209,-1.255453895351304
4117,SCD,2014-07-01,-0.5804117673273533,-0.0924672048369825,-0.2201366133776209,-1.255453895351304
4118,SCD,2014-10-01,-0.5804225351393318,-0.09246718093618045,-0.2201366133776209,-1.255453895351304
4119,SCD,2015-04-01,-0.5804178210364013,-0.0924672106506911,-0.2725759006674942,-1.3659469016560124
4120,SCD,2016-01-01,-0.5804832063004314,-0.09246718755734858,-0.2775325181086172,-1.308397900044191
4121,SCD,2016-04-01,-0.5804572374612585,-0.09246719474373839,-0.2735941982990799,-1.307723089131844
4122,SCD,2016-07-01,-0.5804346999004572,-0.09246721174076147,-0.2971197463862477,-1.3357982172055602
4123,SCD,2016-10-01,-0.5804407655304417,-0.09246715586456207,-0.2704299582279015,-1.2497582994496945
4124,SCD,2017-01-01,-0.5804177168945859,-0.09246720903577205,-0.3150429273923132,-1.3247501258106629
4125,SCD,2017-04-01,-0.5804051867501107,-0.09246722062281629,-0.29802888862172483,-1.3405481994589887
4126,SCD,2018-04-01,-0.5804076713703011,-0.09246721920976211,-0.3266837227248463,-1.4383388344183885
4127,SCD,2018-07-01,-0.5803857176324089,-0.09246721456686982,-0.3206478523277404,-1.4209130836430572
4128,SCD,2018-10-01,-0.580409280605244,-0.09246721113516683,-0.30565521718114463,-1.3914817802072812
4129,SCD,2019-01-01,-0.5803991111575776,-0.09246720136490652,-0.3189158538352581,-1.3997117138664943
4130,SCD,2019-04-01,-0.5803741392824608,-0.09246720588667988,-0.33018213286817066,-1.4077366783973848
4131,SCD,2019-07-01,-0.5803546456800711,-0.09246719720648995,-0.31298128694882726,-1.383080053448531
4132,SCD,2019-10-01,-0.5803309485874639,-0.09246721900789723,-0.3035706166335766,-1.3636100450957702
4133,SCD,2020-01-01,-0.5803527039712579,-0.09246722155139475,-0.32871062132282114,-1.4061105471105713
4134,SCD,2020-04-01,-0.5804263067270277,-0.09246721872528639,-0.343139018770554,-1.428950857530247
4135,SCD,2020-07-01,-0.5804005586045875,-0.0924672171911133,-0.33356388102608675,-1.4283217702012045
4136,SCD,2020-10-01,-0.580378511667086,-0.09246722195512451,-0.049631663981925825,-1.0460041158169808
4137,SFC,2008-01-01,-0.5765689402754874,-0.09246718933375954,-0.20493552691185624,-1.7448685912955741
4138,SFC,2008-04-01,-0.5765612652831121,-0.09246720152639842,-0.20493552691185624,-1.7448685912955741
4139,SFC,2008-07-01,-0.5763944507865675,-0.09246717851380186,-0.20493552691185624,-1.7448685912955741
